time,price,performance
11:52h / 2023-07-06,12.998,
11:54h / 2023-07-06,13.003,0.038467456531776634
11:56h / 2023-07-06,13.0265,0.21919498094922218
11:58h / 2023-07-06,13.031,0.2537399469800139
12:00h / 2023-07-06,13.03,0.24606593884555217
12:01h / 2023-07-06,13.028,0.23071674467824987
12:03h / 2023-07-06,13.024,0.20001364366504237
12:05h / 2023-07-06,13.0,0.015738459389869064
12:07h / 2023-07-06,13.009,0.08496922862064604
12:10h / 2023-07-06,13.007,0.06959525675500622
12:12h / 2023-07-06,13.0152,0.13263823361362448
12:14h / 2023-07-06,13.014,0.12341824467760887
12:17h / 2023-07-06,13.0115,0.10420816322687099
12:36h / 2023-07-06,13.02,0.16953498949594525
20:42h / 2023-07-06,12.664,-2.5647200028235617
19:58h / 2023-07-07,12.5935,-3.121416149380729
20:00h / 2023-07-07,12.591,-3.1412676600807043
16:53h / 2023-07-08,13.72,5.825454601852432
18:39h / 2023-07-16,14.5725,12.039011453164385
12:56h / 2023-09-16,9.4635,-23.020175371333814
