time,price,performance
11:53h / 2023-07-06,4.8704,
11:54h / 2023-07-06,4.87125,0.017452365308789908
11:56h / 2023-07-06,4.8871,0.3428308615879949
11:59h / 2023-07-06,4.8856,0.31213781254050277
12:01h / 2023-07-06,4.8869,0.3387466221033031
12:02h / 2023-07-06,4.8803,0.20369167929703558
12:03h / 2023-07-06,4.8816500000000005,0.2313539131761022
12:05h / 2023-07-06,4.885199999999999,0.3040752266664004
12:07h / 2023-07-06,4.8726,0.0461533401520553
12:10h / 2023-07-06,4.8774,0.144663375861942
12:12h / 2023-07-06,4.8737,0.06880328647006495
12:15h / 2023-07-06,4.8751,0.0975288953503628
12:18h / 2023-07-06,4.884499999999999,0.2903454529594174
12:36h / 2023-07-06,4.8882,0.3660952738213541
20:42h / 2023-07-06,4.7153,-3.170994043309705
19:58h / 2023-07-07,4.5676000000000005,-6.303350415120612
20:01h / 2023-07-07,4.5639,-6.384355757094517
16:54h / 2023-07-08,4.5734,-6.176200451325331
18:39h / 2023-07-16,4.8108,-0.9853140210983709
12:56h / 2023-09-16,3.3193,-31.988473578760303
