time,price,performance
11:53h / 2023-07-06,62.0005,
11:54h / 2023-07-06,61.863,-0.22177240506124907
11:56h / 2023-07-06,61.8955,-0.16923696384436582
11:59h / 2023-07-06,61.7395,-0.4212746725630878
12:01h / 2023-07-06,61.7605,-0.38726079166025995
12:02h / 2023-07-06,61.679,-0.5192221585533341
12:03h / 2023-07-06,61.449,-0.8921205518476527
12:05h / 2023-07-06,61.4545,-0.8831700400411147
12:07h / 2023-07-06,61.4075,-0.9596493865495104
12:10h / 2023-07-06,61.245000000000005,-1.2242750430246918
12:12h / 2023-07-06,61.256,-1.2063143931757336
12:15h / 2023-07-06,61.324,-1.09530485941578
12:18h / 2023-07-06,61.148,-1.3823050550977212
12:36h / 2023-07-06,61.05500000000001,-1.5343950662182748
20:42h / 2023-07-06,57.285,-7.7091555280969235
19:58h / 2023-07-07,55.695,-10.484751233779033
20:01h / 2023-07-07,55.735,-10.412931501307533
16:54h / 2023-07-08,53.87,-13.759123301791977
18:39h / 2023-07-16,77.594,30.28023069857929
12:56h / 2023-09-16,40.7795,-17.16480371129776
