time,price,performance
11:53h / 2023-07-06,0.7921,
11:54h / 2023-07-06,0.7926,0.0631233430122391
11:56h / 2023-07-06,0.79515,0.3848493081901383
11:59h / 2023-07-06,0.7951,0.3785611864520977
12:01h / 2023-07-06,0.796,0.49175449546983163
12:02h / 2023-07-06,0.7955,0.42894042511806285
12:03h / 2023-07-06,0.7948500000000001,0.3472308085247344
12:05h / 2023-07-06,0.7947,0.3283593233388338
12:07h / 2023-07-06,0.7948,0.3409426881305855
12:10h / 2023-07-06,0.7948,0.3409426881305855
12:12h / 2023-07-06,0.7946,0.31577912497003924
12:15h / 2023-07-06,0.7948,0.3409490217734512
12:18h / 2023-07-06,0.7947,0.32836724019318364
12:36h / 2023-07-06,0.7948500000000001,0.3472422873808112
20:42h / 2023-07-06,0.7422500000000001,-6.2703585178025545
19:58h / 2023-07-07,0.76285,-3.495013283717019
20:01h / 2023-07-07,0.764,-3.344262808525311
16:54h / 2023-07-08,0.7718,-2.3233204001483543
18:39h / 2023-07-16,0.8224499999999999,4.23926057938
12:56h / 2023-09-16,0.4323,-43.198273617227684
