time,price,performance
11:52h / 2023-07-06,1942.22,
11:54h / 2023-07-06,1942.03,-0.00978261988858753
11:56h / 2023-07-06,1943.75,0.07878449802410925
11:58h / 2023-07-06,1943.985,0.09087453017845304
12:00h / 2023-07-06,1944.27,0.105535137127577
12:01h / 2023-07-06,1943.885,0.08573336062533965
12:03h / 2023-07-06,1941.16,-0.054449829223846
12:05h / 2023-07-06,1941.64,-0.02972234668763285
12:07h / 2023-07-06,1940.63,-0.08174022847828866
12:09h / 2023-07-06,1940.57,-0.08483200795197376
12:12h / 2023-07-06,1939.99,-0.11472013360577238
12:14h / 2023-07-06,1939.885,-0.12013253263876145
12:17h / 2023-07-06,1939.675,-0.13095791661771328
12:35h / 2023-07-06,1939.865,-0.12116246119348029
20:42h / 2023-07-06,1887.23,-2.8344956055102233
19:57h / 2023-07-07,1859.635,-4.296691522277129
20:00h / 2023-07-07,1859.51,-4.3034132714375835
16:53h / 2023-07-08,1859.665,-4.29507774218526
18:39h / 2023-07-16,1937.5,-0.10964649515957614
12:56h / 2023-09-16,1635.83,-15.67971101128861
