time,price,performance
11:52h / 2023-07-06,6.438549999999999,
11:54h / 2023-07-06,6.438,-0.00854229601384704
11:56h / 2023-07-06,6.453,0.22444931628812226
11:59h / 2023-07-06,6.4373000000000005,-0.018848374708313465
12:00h / 2023-07-06,6.43895,0.006783489582606883
12:01h / 2023-07-06,6.4341,-0.06853935032141711
12:03h / 2023-07-06,6.4366,-0.02968387713945253
12:05h / 2023-07-06,6.4328,-0.08872125712267032
12:07h / 2023-07-06,6.42895,-0.14857077832649557
12:10h / 2023-07-06,6.4255,-0.20223428480888872
12:12h / 2023-07-06,6.4238,-0.2286913698606452
12:15h / 2023-07-06,6.42695,-0.17965497395792118
12:18h / 2023-07-06,6.4202,-0.2846814639726136
12:36h / 2023-07-06,6.4152000000000005,-0.3625606577671969
20:42h / 2023-07-06,6.1778,-4.063146765760717
19:58h / 2023-07-07,6.1308,-4.823935396017454
20:00h / 2023-07-07,6.11815,-5.03027062143665
16:53h / 2023-07-08,6.17775,-4.056119938632208
18:39h / 2023-07-16,6.763,5.417393881124176
12:56h / 2023-09-16,6.25365,-2.1140270859022827
