time,price,performance
11:52h / 2023-07-06,0.3972,
11:54h / 2023-07-06,0.397235,0.008811681772402657
11:56h / 2023-07-06,0.397855,0.1648905771366005
11:59h / 2023-07-06,0.3981099999999999,0.228984279616129
12:01h / 2023-07-06,0.398015,0.20512152811531514
12:02h / 2023-07-06,0.3978049999999999,0.15235969753101264
12:03h / 2023-07-06,0.39787,0.16869936143671938
12:05h / 2023-07-06,0.39787,0.16869936143671938
12:07h / 2023-07-06,0.39787,0.16869936143671938
12:10h / 2023-07-06,0.39774,0.1360253724453364
12:12h / 2023-07-06,0.39748,0.07065603569268442
12:15h / 2023-07-06,0.3975,0.07568773540084228
12:18h / 2023-07-06,0.397435,0.059335534142967994
12:36h / 2023-07-06,0.3975,0.07569040978301356
20:42h / 2023-07-06,0.37884,-4.618649212858494
19:58h / 2023-07-07,0.377465,-4.981599270930503
20:01h / 2023-07-07,0.37727,-5.03325968977728
16:54h / 2023-07-08,0.38774,-2.2580589051933044
18:39h / 2023-07-16,0.41699,5.285655955280234
12:56h / 2023-09-16,0.30099,-22.532756956300393
