time,price,performance
11:53h / 2023-07-06,62.265,
11:54h / 2023-07-06,62.292,0.04336304504939381
11:56h / 2023-07-06,62.269,0.006440165706933509
11:59h / 2023-07-06,62.291,0.04177074753738408
12:01h / 2023-07-06,62.295,0.04819222094446518
12:02h / 2023-07-06,62.321,0.08992911796669167
12:03h / 2023-07-06,62.243,-0.03522933584502175
12:05h / 2023-07-06,62.125,-0.22480888695920465
12:07h / 2023-07-06,62.0,-0.42601613041997055
12:10h / 2023-07-06,61.969,-0.47601613041996504
12:12h / 2023-07-06,61.95,-0.5066766219560481
12:15h / 2023-07-06,61.987,-0.446951036806742
12:18h / 2023-07-06,61.96,-0.4905085569319345
12:36h / 2023-07-06,60.907,-2.1899920946982454
20:42h / 2023-07-06,57.404,-7.9413835603754155
19:58h / 2023-07-07,55.3,-11.606633368751153
20:01h / 2023-07-07,55.38,-11.46196790762998
16:54h / 2023-07-08,56.393,-9.63278769816808
18:40h / 2023-07-16,74.24,22.01475720988787
12:56h / 2023-09-16,0.0405315,-77.9306475584311
