time,price,performance
11:53h / 2023-07-06,3.4994,
11:54h / 2023-07-06,3.4965,-0.08287134937418061
11:56h / 2023-07-06,3.5031,0.10588883938599247
11:59h / 2023-07-06,3.5012,0.05165116418403004
12:01h / 2023-07-06,3.5061,0.1916031806355467
12:02h / 2023-07-06,3.5061,0.1916031806355467
12:03h / 2023-07-06,3.5056,0.17734232099092528
12:05h / 2023-07-06,3.5056,0.17734232099092528
12:07h / 2023-07-06,3.5061,0.19160521464679503
12:10h / 2023-07-06,3.5197,0.5795005969804312
12:12h / 2023-07-06,3.5172,0.5084718161184276
12:15h / 2023-07-06,3.5046,0.15023230741832982
12:18h / 2023-07-06,3.4931,-0.17790785123029673
12:36h / 2023-07-06,3.5049,0.15990097187811303
20:42h / 2023-07-06,3.2142,-8.134201570277156
19:58h / 2023-07-07,3.4284,-1.4700238588715173
20:01h / 2023-07-07,3.4266,-1.5225264840027628
16:54h / 2023-07-08,3.6364,4.600160727810698
18:40h / 2023-07-16,3.1635,-8.40445922598977
12:56h / 2023-09-16,1.982,-45.752333415969225
