time,price,performance
11:52h / 2023-07-06,0.43783,
11:54h / 2023-07-06,0.43784,0.0022839915035488545
11:56h / 2023-07-06,0.4391,0.2900603481635011
11:59h / 2023-07-06,0.43893,0.25134479362011186
12:01h / 2023-07-06,0.439,0.26729266685731057
12:02h / 2023-07-06,0.4385,0.15339745045639397
12:03h / 2023-07-06,0.4386,0.17620246756016034
12:05h / 2023-07-06,0.43843,0.1374427776376752
12:07h / 2023-07-06,0.438225,0.09068502839606474
12:10h / 2023-07-06,0.43832,0.1123633899683174
12:12h / 2023-07-06,0.43795,0.027950175878155292
12:15h / 2023-07-06,0.43798,0.03480027292119825
12:18h / 2023-07-06,0.4378,-0.00629749410011593
12:36h / 2023-07-06,0.437005,-0.1878872611170257
20:42h / 2023-07-06,0.4184,-4.445275620517941
19:58h / 2023-07-07,0.4141,-5.473000285909901
20:01h / 2023-07-07,0.413865,-5.529749863306677
16:54h / 2023-07-08,0.41535,-5.170937207005699
18:39h / 2023-07-16,0.4532,3.941859229734402
12:56h / 2023-09-16,0.306485,-28.431265218632763
