time,price,performance
11:52h / 2023-07-06,2.1683000000000003,
11:54h / 2023-07-06,2.1672,-0.050730987409519646
11:56h / 2023-07-06,2.168,-0.013816997007143339
11:59h / 2023-07-06,2.1687,0.01847082587106419
12:01h / 2023-07-06,2.169,0.03230399781740667
12:02h / 2023-07-06,2.16615,-0.09909295930569106
12:03h / 2023-07-06,2.1643,-0.18449794049352208
12:05h / 2023-07-06,2.16335,-0.22839204020242976
12:07h / 2023-07-06,2.1618,-0.3000401785064444
12:10h / 2023-07-06,2.1618,-0.3000401785064444
12:12h / 2023-07-06,2.1618,-0.3000401785064444
12:15h / 2023-07-06,2.1619,-0.2954144036891426
12:18h / 2023-07-06,2.1608,-0.3462955730309303
12:36h / 2023-07-06,2.1608,-0.3462955730309303
20:42h / 2023-07-06,2.0881,-3.7107902046488617
19:58h / 2023-07-07,2.09125,-3.559935360532185
20:01h / 2023-07-07,2.0913500000000003,-3.555153531482569
16:54h / 2023-07-08,2.09015,-3.6125327363024318
18:39h / 2023-07-16,2.68705,24.945226276208643
12:56h / 2023-09-16,2.20535,7.018503662189559
