time,price,performance
11:52h / 2023-07-06,5.574,
11:54h / 2023-07-06,5.57545,0.026013634732691138
11:56h / 2023-07-06,5.57915,0.09237599113443018
11:58h / 2023-07-06,5.57715,0.05652823654814787
12:00h / 2023-07-06,5.577,0.05383869081242443
12:01h / 2023-07-06,5.5664,-0.1362276531000739
12:03h / 2023-07-06,5.5654,-0.1541925855519155
12:05h / 2023-07-06,5.5654,-0.1541925855519155
12:07h / 2023-07-06,5.56555,-0.15149736148896142
12:10h / 2023-07-06,5.5695,-0.0805250406940683
12:12h / 2023-07-06,5.5701,-0.06975208082333761
12:15h / 2023-07-06,5.57185,-0.03833433248847662
12:18h / 2023-07-06,5.568849999999999,-0.0921764136644021
12:36h / 2023-07-06,5.5715,-0.044590287264856254
20:42h / 2023-07-06,5.398,-3.1586529274874264
19:58h / 2023-07-07,5.4881,-1.489516210184716
20:00h / 2023-07-07,5.4812,-1.6152427822223925
16:53h / 2023-07-08,5.311,-4.720402236356525
18:39h / 2023-07-16,5.83975,5.235349976032855
12:56h / 2023-09-16,4.31955,-20.79658632261008
