time,price,performance
11:53h / 2023-07-06,0.240145,
11:54h / 2023-07-06,0.24017,0.010410377063863052
11:56h / 2023-07-06,0.24086,0.2977068753775569
11:59h / 2023-07-06,0.24048,0.13993887737041577
12:01h / 2023-07-06,0.2405499999999999,0.16904732713750592
12:02h / 2023-07-06,0.24029,0.06096169005586072
12:03h / 2023-07-06,0.239825,-0.13255447790784247
12:05h / 2023-07-06,0.23977,-0.15548786683726723
12:07h / 2023-07-06,0.2397,-0.18468251170526973
12:10h / 2023-07-06,0.23967,-0.19719815626096926
12:12h / 2023-07-06,0.23978,-0.15130171532135028
12:15h / 2023-07-06,0.23991,-0.09708535032008081
12:18h / 2023-07-06,0.239705,-0.18253406025298125
12:36h / 2023-07-06,0.24014,-0.0010609996159538504
20:42h / 2023-07-06,0.22255,-7.325954811558988
19:58h / 2023-07-07,0.22122,-7.923573324252764
20:01h / 2023-07-07,0.22115,-7.955216032868618
16:54h / 2023-07-08,0.224745,-6.329622544286218
18:39h / 2023-07-16,0.2293,-4.302881126234649
12:56h / 2023-09-16,0.170655,-29.878546193831678
