name,symbol,polygon_address
Wrapped Ether,ETH,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619
Polygon,MATIC,0x0000000000000000000000000000000000001010
Wrapped BTC,WBTC,0x1BFD67037B42Cf73acF2047067bd4F2C47D9BfD6
Avalanche Token,AVAX,0x2C89bbc92BD86F8075d1DEcc58C7F4E0107f286b
Uniswap,UNI,0xb33EaAd8d922B1083446DC23f610c2567fB5180f
ChainLink Token,LINK,0x53E0bca35eC356BD5ddDFebbD1Fc0fD03FaBad39
Lido DAO Token,LDO,0xC3C7d422809852031b44ab29EEC9F1EfF2A58756
Aave,AAVE,0xD6DF932A45C0f255f85145f286eA0b292B21C90B
Graph Token,GRT,0x5fe2B58c013d7601147DcdD68C143A77499f5531
Sandbox Token,SAND,0xBbba073C31bF03b8ACf7c28EF0738DeCF3695683
Decentraland,MANA,0xA1c57f48F0Deb89f569dFbE6E2B7f46D33606fD4
Synthetix Network Token,SNX,0x50B728D8D964fd00C2d0AAD81718b71311feF68a
CRV,CRV,0x172370d5Cd63279eFa6d502DAB29171933a610AF
Wootrade Network,WOO,0x1B815d120B3eF02039Ee11dC2d33DE7aA4a8C603
Compound,COMP,0x8505b9d2254A7Ae468c0E9dd10Ccea3A837aef5c
Balancer,BAL,0x9a71012B13CA4d3D0Cdc72A177DF3ef03b0E76A3
Gains Network,GNS,0xE5417Af564e4bFDA1c483642db72007871397896
Route,ROUTE,0x16ECCfDbb4eE1A85A33f3A9B21175Cd7Ae753dB4
QuickSwap,QUICK,0xB5C064F955D8e7F38fE0460C556a72987494eE17
